race year,category,age group,gender,max,min,avg
2002,10,20-30,female,4516.4,2120.7,3276.6
2002,10,20-30,male,4170.6,1744.2,2734.7
2002,10,30-40,female,4420.8,2120.8,3347.0
2002,10,30-40,male,5211.6,1864.0,2864.8
2002,10,40-50,female,6110.9,2268.4,3353.4
2002,10,40-50,male,4473.8,1954.7,2892.3
2002,10,other,female,7156.9,2476.7,3522.5
2002,10,other,male,5058.4,1933.2,3014.7
2002,21,20-30,female,10332.2,5013.1,7144.5
2002,21,20-30,male,9857.2,4208.1,6136.7
2002,21,30-40,female,9939.8,4854.5,7130.1
2002,21,30-40,male,9207.9,4087.9,6209.1
2002,21,40-50,female,9790.7,4915.5,7212.8
2002,21,40-50,male,9046.4,4318.2,6388.3
2002,21,other,female,9105.4,5513.0,7529.4
2002,21,other,male,11823.8,4551.3,6821.3
2002,42,20-30,female,18980.2,11070.0,14181.0
2002,42,20-30,male,20524.9,8730.8,12952.9
2002,42,30-40,female,20011.6,10061.7,14555.2
2002,42,30-40,male,19641.0,8682.4,13071.5
2002,42,40-50,female,19735.3,9033.9,14945.2
2002,42,40-50,male,20035.6,8790.5,13296.5
2002,42,other,female,19571.1,11688.4,14701.8
2002,42,other,male,23384.2,9763.0,14321.0
2003,10,20-30,female,4254.4,2161.4,3224.8
2003,10,20-30,male,5415.9,1901.1,2797.5
2003,10,30-40,female,4400.6,2218.5,3361.9
2003,10,30-40,male,4415.0,1853.0,2953.6
2003,10,40-50,female,6367.7,2490.9,3407.0
2003,10,40-50,male,4507.7,1999.5,2919.0
2003,10,other,female,6331.0,2355.6,3505.5
2003,10,other,male,6182.8,1986.3,3107.9
2003,21,20-30,female,8963.9,4514.4,6898.4
2003,21,20-30,male,9261.4,3972.1,6095.9
2003,21,30-40,female,10280.4,4699.5,6903.7
2003,21,30-40,male,9687.4,3995.5,6220.2
2003,21,40-50,female,10705.1,4804.4,7098.3
2003,21,40-50,male,10167.2,4187.4,6393.3
2003,21,other,female,10455.7,5125.3,7302.3
2003,21,other,male,10113.8,4448.0,6591.6
2003,42,20-30,female,18894.9,11832.1,14538.3
2003,42,20-30,male,22572.5,2607.0,12865.4
2003,42,30-40,female,19498.1,5764.3,14527.0
2003,42,30-40,male,22918.8,4382.9,12789.0
2003,42,40-50,female,21803.7,6300.7,14628.2
2003,42,40-50,male,20085.0,4878.7,13287.4
2003,42,other,female,21801.8,12048.3,15741.7
2003,42,other,male,21803.1,5536.1,13987.2
2004,10,20-30,female,4587.4,2360.4,3399.4
2004,10,20-30,male,4910.7,1908.6,2806.1
2004,10,30-40,female,4907.9,2289.2,3451.5
2004,10,30-40,male,4595.5,1904.0,2983.7
2004,10,40-50,female,4594.7,2346.4,3467.5
2004,10,40-50,male,5069.0,2012.1,2963.0
2004,10,other,female,5073.4,2200.3,3451.3
2004,10,other,male,5073.7,1820.1,3051.6
2004,21,20-30,female,9857.7,4675.0,7108.4
2004,21,20-30,male,11747.1,3891.8,6344.6
2004,21,30-40,female,10365.4,4827.3,7249.9
2004,21,30-40,male,10743.6,4028.3,6514.4
2004,21,40-50,female,10220.1,4740.3,7304.7
2004,21,40-50,male,11738.8,4494.0,6604.1
2004,21,other,female,10358.6,4581.3,7531.7
2004,21,other,male,10923.1,4537.0,6915.2
2004,42,20-30,female,20491.1,6897.4,14368.4
2004,42,20-30,male,18922.8,5351.8,13496.3
2004,42,30-40,female,20810.8,6911.7,14404.2
2004,42,30-40,male,22287.3,4417.6,13196.9
2004,42,40-50,female,19698.6,6170.4,14799.7
2004,42,40-50,male,22058.8,5032.8,13616.7
2004,42,other,female,22553.8,6807.7,15626.4
2004,42,other,male,21027.0,5853.0,14752.0
2005,10,20-30,female,4458.0,2161.2,3321.1
2005,10,20-30,male,4470.0,1887.1,2802.9
2005,10,30-40,female,5130.9,2466.3,3497.7
2005,10,30-40,male,4463.1,1917.0,2946.7
2005,10,40-50,female,6678.3,2391.3,3441.3
2005,10,40-50,male,4946.7,2014.6,3027.8
2005,10,other,female,5049.0,2349.3,3450.1
2005,10,other,male,5070.7,2012.9,3037.9
2005,21,20-30,female,9976.9,4688.4,7140.4
2005,21,20-30,male,9963.5,4017.8,6265.4
2005,21,30-40,female,10824.8,4565.9,7320.3
2005,21,30-40,male,10587.7,4034.2,6396.5
2005,21,40-50,female,11940.7,5224.5,7409.3
2005,21,40-50,male,10220.2,4260.2,6569.5
2005,21,other,female,14957.2,5394.5,8022.6
2005,21,other,male,10286.1,4497.2,6849.2
2005,42,20-30,female,28040.1,10862.8,16028.9
2005,42,20-30,male,18862.9,9393.2,13268.5
2005,42,30-40,female,26724.5,11681.1,15185.5
2005,42,30-40,male,20334.8,9209.2,13286.3
2005,42,40-50,female,28039.8,11001.9,15664.6
2005,42,40-50,male,21057.1,9258.5,13560.9
2005,42,other,female,31073.5,12548.7,17845.1
2005,42,other,male,21077.7,10641.6,14294.4
2006,10,20-30,female,4927.2,2237.8,3515.9
2006,10,20-30,male,5536.3,1892.3,3005.7
2006,10,30-40,female,5686.5,2120.0,3592.6
2006,10,30-40,male,7095.2,1824.2,3146.2
2006,10,40-50,female,5264.2,2145.5,3602.2
2006,10,40-50,male,5330.6,1862.5,3045.8
2006,10,other,female,5629.5,2735.1,3682.4
2006,10,other,male,7101.2,2162.0,3286.2
2006,21,20-30,female,10613.1,5106.1,7478.5
2006,21,20-30,male,10656.5,4372.3,6655.8
2006,21,30-40,female,10010.0,5005.3,7366.6
2006,21,30-40,male,10380.0,4286.6,6577.8
2006,21,40-50,female,10703.3,5243.9,7548.6
2006,21,40-50,male,10271.8,4607.7,6761.9
2006,21,other,female,15091.0,5539.0,8067.7
2006,21,other,male,11453.0,4637.5,7187.7
2006,42,20-30,female,19652.2,11635.6,15229.5
2006,42,20-30,male,20071.0,10077.5,13960.2
2006,42,30-40,female,19674.4,11010.6,14740.5
2006,42,30-40,male,22467.5,9814.6,13629.4
2006,42,40-50,female,25630.8,10270.4,15707.2
2006,42,40-50,male,21818.5,9369.4,14011.6
2006,42,other,female,22633.2,13108.1,16232.0
2006,42,other,male,23267.8,10422.1,14928.5
2007,10,20-30,female,4746.6,2136.4,3429.2
