city,counts,geoCity,canton,country,lat,lng
Lausanne,81,Lausanne,VD,CH,46.5196535,6.6322734
Genève,23,Geneva,GE,CH,46.2043907,6.1431577
Pully,17,Pully,VD,CH,46.5092681,6.6654949
Chavannes-près-Renens,10,Chavannes-près-Renens,VD,CH,46.5316376,6.574969599999999
Caux,7,Caux,Occitanie,FR,43.503448,3.368448
Ecublens VD,7,Ecublens,VD,CH,46.5296363,6.561525199999999
Gland,6,Gland,VD,CH,46.4203001,6.2698809
Zürich,6,Zürich,ZH,CH,47.3768866,8.541694
Le Mont-sur-Lausanne,6,Le Mont-sur-Lausanne,VD,CH,46.55331229999999,6.6339915
Nyon,5,Nyon,VD,CH,46.3832683,6.2347852
Martigny,5,Martigny,VS,CH,46.1049798,7.075533399999999
Crissier,5,Crissier,VD,CH,46.55186870000001,6.5743458
Lutry,5,Lutry,VD,CH,46.5088803,6.6827638
Echallens,5,Échallens,VD,CH,46.6410996,6.634450800000001
Vevey,4,Vevey,VD,CH,46.4628333,6.8419192
Lonay,4,Lonay,VD,CH,46.52664679999999,6.5205487
Bevaix,4,Bevaix,NE,CH,46.9307449,6.815188699999999
Cheseaux-sur-Lausanne,4,Cheseaux-sur-Lausanne,VD,CH,46.585452,6.6047712
La Chaux-de-Fonds,4,La Chaux-de-Fonds,NE,CH,47.1034892,6.832783800000001
GB-Reading,4,Reading,England,GB,51.4542645,-0.9781303
