POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LOCATION
502-00160,-,0,Grey,SS,N,N,SFMTA,ON,0,16,JONES ST,7563000,Area 2,,"(37.7816058014, -122.4120548998)"
502-00180,-,0,Grey,SS,N,N,SFMTA,ON,0,18,JONES ST,7563000,Area 2,,"(37.7816558023, -122.4120653995)"
593-00031,593-00030,1,Black,MS,N,N,SFMTA,ON,0,3,OFARRELL ST,9720000,Area 5,Downtown,"(37.7867430978, -122.4050872025)"
472-01310,-,0,Yellow,SS,N,N,SFMTA,ON,0,131,HYDE ST,7115000,Area 5,Civic Center,"(37.7824279991, -122.4157389027)"
614-07440,-,0,Grey,SS,N,N,SFMTA,ON,0,744,POST ST,10635000,Area 3,,"(37.7875462015, -122.4147987996)"
614-08030,-,0,Grey,SS,N,N,SFMTA,ON,0,803,POST ST,10636000,Area 3,,"(37.7873594024, -122.4152043999)"
614-08090,-,0,Grey,SS,N,N,SFMTA,ON,0,809,POST ST,10636000,Area 3,,"(37.7873308984, -122.4154309013)"
205-03120,-,0,Grey,SS,N,N,SFMTA,ON,0,312,05TH ST,299000,Area 5,South Embarcadero,"(37.7798804984, -122.4030617994)"
205-03500,-,0,Yellow,SS,N,N,SFMTA,ON,0,350,05TH ST,301000,Area 5,South Embarcadero,"(37.7792830978, -122.4023119991)"
470-08110,-,0,Green,SS,N,N,SFMTA,ON,0,811,HOWARD ST,7039001,Area 5,Downtown,"(37.7829070025, -122.4030039978)"
470-08270,-,0,Grey,SS,N,N,SFMTA,ON,0,827,HOWARD ST,7039001,Area 5,Downtown,"(37.7826299024, -122.4033547022)"
400-02300,-,0,Grey,SS,N,N,SFMTA,ON,0,230,EDDY ST,5060000,Area 2,,"(37.7840815977, -122.4119585973)"
400-02380,-,0,Grey,SS,N,N,SFMTA,ON,0,238,EDDY ST,5060000,Area 2,,"(37.7840441977, -122.4122535006)"
562-04120,-,0,Grey,SS,N,N,SFMTA,ON,0,412,MASON ST,8805000,Area 1,,"(37.7875092988, -122.4098779016)"
562-04130,-,0,Grey,SS,N,N,SFMTA,ON,0,413,MASON ST,8805000,Area 1,,"(37.7874464010, -122.4099994001)"
593-00040,-,0,Yellow,SS,N,N,SFMTA,ON,0,4,OFARRELL ST,9720000,Area 5,Downtown,"(37.7868507997, -122.4050828998)"
336-08110,-,0,Grey,SS,N,N,SFMTA,ON,0,811,BUSH ST,3438000,Area 1,,"(37.7898378027, -122.4107858014)"
336-08170,-,0,Grey,SS,N,N,SFMTA,ON,0,817,BUSH ST,3438000,Area 1,,"(37.7898126011, -122.4109874980)"
562-05040,-,0,Yellow,SS,N,N,SFMTA,ON,0,504,MASON ST,8806000,Area 1,,"(37.7882558973, -122.4100199022)"
